CallIndex,SubproblemSize
1,2000
2,46
3,4
4,0
5,3
6,0
7,2
8,1
9,0
10,41
11,22
12,16
13,4
14,2
15,1
16,0
17,1
18,11
19,5
20,0
21,4
22,0
23,3
24,2
25,0
26,1
27,0
28,5
29,4
30,3
31,1
32,1
33,0
34,0
35,5
36,0
37,4
38,0
39,3
40,1
41,1
42,18
43,3
44,2
45,1
46,0
47,0
48,14
49,7
50,2
51,1
52,0
53,4
54,3
55,2
56,0
57,1
58,0
59,0
60,6
61,3
62,0
63,2
64,1
65,0
66,2
67,1
68,0
69,1953
70,275
71,9
72,5
73,1
74,3
75,1
76,1
77,3
78,2
79,0
80,1
81,0
82,265
83,28
84,2
85,1
86,0
87,25
88,10
89,7
90,0
91,6
92,4
93,1
94,2
95,0
96,1
97,1
98,2
99,1
100,0
101,14
102,6
103,3
104,2
105,0
106,1
107,0
108,2
109,0
110,1
111,7
112,5
113,1
114,3
115,1
116,1
117,1
118,236
119,199
120,151
121,112
122,27
123,0
124,26
125,15
126,7
127,0
128,6
129,0
130,5
131,3
132,1
133,1
134,1
135,7
136,0
137,6
138,0
139,5
140,0
141,4
142,1
143,2
144,0
145,1
146,10
147,4
148,3
149,2
150,0
151,1
152,0
153,0
154,5
155,3
156,0
157,2
158,1
159,0
160,1
161,84
162,24
163,6
164,1
165,4
166,3
167,0
168,2
169,1
170,0
171,0
172,17
173,13
174,8
175,1
176,6
177,3
178,1
179,1
180,2
181,0
182,1
183,4
184,0
185,3
186,1
187,1
188,3
189,0
190,2
191,1
192,0
193,59
194,53
195,13
196,1
197,11
198,5
199,0
200,4
201,1
202,2
203,0
204,1
205,5
206,0
207,4
208,1
209,2
210,0
211,1
212,39
213,15
214,8
215,0
216,7
217,4
218,3
219,1
220,1
221,0
222,2
223,1
224,0
225,6
226,5
227,1
228,3
229,2
230,1
231,0
232,0
233,0
234,23
235,8
236,1
237,6
238,4
239,2
240,1
241,0
242,1
243,1
244,14
245,5
246,1
247,3
248,2
249,1
250,0
251,0
252,8
253,4
254,1
255,2
256,0
257,1
258,3
259,1
260,1
261,5
262,3
263,1
264,1
265,1
266,38
267,17
268,14
269,9
270,4
271,2
272,0
273,1
274,1
275,4
276,2
277,1
278,0
279,1
280,4
281,1
282,2
283,0
284,1
285,2
286,0
287,1
288,20
289,12
290,10
291,8
292,5
293,1
294,3
295,0
296,2
297,1
298,0
299,2
300,1
301,0
302,1
303,1
304,7
305,6
306,1
307,4
308,2
309,0
310,1
311,1
312,0
313,47
314,14
315,9
316,2
317,0
318,1
319,6
320,5
321,1
322,3
323,1
324,1
325,0
326,4
327,3
328,2
329,0
330,1
331,0
332,0
333,32
334,14
335,5
336,4
337,3
338,0
339,2
340,0
341,1
342,0
343,0
344,8
345,2
346,1
347,0
348,5
349,1
350,3
351,2
352,1
353,0
354,0
355,17
356,13
357,10
358,1
359,8
360,7
361,0
362,6
363,3
364,0
365,2
366,0
367,1
368,2
369,1
370,0
371,0
372,2
373,1
374,0
375,3
376,2
377,0
378,1
379,0
380,36
381,11
382,3
383,1
384,1
385,7
386,0
387,6
388,5
389,4
390,1
391,2
392,1
393,0
394,0
395,0
396,24
397,1
398,22
399,11
400,8
401,2
402,1
403,0
404,5
405,0
406,4
407,1
408,2
409,1
410,0
411,2
412,0
413,1
414,10
415,5
416,2
417,0
418,1
419,2
420,0
421,1
422,4
423,2
424,1
425,0
426,1
427,1677
428,643
429,609
430,28
431,10
432,1
433,8
434,6
435,4
436,2
437,1
438,0
439,1
440,1
441,1
442,17
443,5
444,2
445,1
446,0
447,2
448,0
449,1
450,11
451,1
452,9
453,4
454,1
455,2
456,0
457,1
458,4
459,3
460,0
461,2
462,0
463,1
464,0
465,580
466,444
467,194
468,49
469,10
470,2
471,0
472,1
473,7
474,0
475,6
476,1
477,4
478,2
479,0
480,1
481,1
482,38
483,36
484,15
485,9
486,1
487,7
488,6
489,0
490,5
491,1
492,3
493,0
494,2
495,0
496,1
497,0
498,5
499,2
500,0
501,1
502,2
503,0
504,1
505,20
506,8
507,3
508,1
509,1
510,4
511,3
512,0
513,2
514,1
515,0
516,0
517,11
518,5
519,1
520,3
521,1
522,1
523,5
524,2
525,0
526,1
527,2
528,1
529,0
530,1
531,144
532,108
533,19
534,9
535,3
536,0
537,2
538,0
539,1
540,5
541,0
542,4
543,2
544,0
545,1
546,1
547,9
548,3
549,1
550,1
551,5
552,1
553,3
554,0
555,2
556,1
557,0
558,88
559,14
560,6
561,4
562,1
563,2
564,1
565,0
566,1
567,7
568,2
569,1
570,0
571,4
572,2
573,1
574,0
575,1
576,73
577,52
578,23
579,5
580,2
581,1
582,0
583,2
584,0
585,1
586,17
587,12
588,4
589,0
590,3
591,2
592,1
593,0
594,0
595,7
596,5
597,3
598,0
599,2
600,0
601,1
602,1
603,1
604,4
605,0
606,3
607,1
608,1
609,28
610,0
611,27
612,21
613,8
614,0
615,7
616,1
617,5
618,1
619,3
620,1
621,1
622,12
623,6
624,0
625,5
626,3
627,0
628,2
629,1
630,0
631,1
632,5
633,0
634,4
635,3
636,0
637,2
638,0
639,1
640,0
641,5
642,0
643,4
644,3
645,0
646,2
647,0
648,1
649,0
650,20
651,5
652,2
653,0
654,1
655,2
656,0
657,1
658,14
659,13
660,1
661,11
662,0
663,10
664,8
665,5
666,4
667,3
668,0
669,2
670,0
671,1
672,0
673,0
674,2
675,0
676,1
677,1
678,0
679,35
680,34
681,20
682,7
683,0
684,6
685,0
686,5
687,0
688,4
689,2
690,1
691,0
692,1
693,12
694,10
695,8
696,1
697,6
698,4
699,1
700,2
701,0
702,1
703,1
704,1
705,1
706,13
707,2
708,0
709,1
710,10
711,2
712,0
713,1
714,7
715,3
716,2
717,1
718,0
719,0
720,3
721,1
722,1
723,0
724,249
725,81
726,47
727,46
728,27
729,26
730,21
731,16
732,10
733,3
734,1
735,1
736,6
737,5
738,3
739,1
740,1
741,1
742,0
743,5
744,0
745,4
746,2
747,0
748,1
749,1
750,4
751,3
752,2
753,0
754,1
755,0
756,0
757,4
758,3
759,0
760,2
761,1
762,0
763,0
764,0
765,18
766,13
767,9
768,4
769,0
770,3
771,1
772,1
773,4
774,1
775,2
776,0
777,1
778,3
779,0
780,2
781,0
782,1
783,4
784,2
785,0
786,1
787,1
788,0
789,33
790,5
791,4
792,1
793,2
794,1
795,0
796,0
797,27
798,12
799,4
800,2
801,1
802,0
803,1
804,7
805,2
806,0
807,1
808,4
809,1
810,2
811,0
812,1
813,14
814,10
815,0
816,9
817,4
818,3
819,0
820,2
821,1
822,0
823,0
824,4
825,0
826,3
827,2
828,0
829,1
830,0
831,3
832,2
833,0
834,1
835,0
836,167
837,162
838,18
839,11
840,1
841,9
842,0
843,8
844,6
845,3
846,2
847,1
848,0
849,0
850,2
851,0
852,1
853,1
854,6
855,4
856,3
857,2
858,1
859,0
860,0
861,0
862,1
863,143
864,130
865,37
866,6
867,2
868,0
869,1
870,3
871,0
872,2
873,0
874,1
875,30
876,16
877,4
878,3
879,1
880,1
881,0
882,11
883,1
884,9
885,5
886,1
887,3
888,0
889,2
890,1
891,0
892,3
893,1
894,1
895,13
896,7
897,6
898,2
899,0
900,1
901,3
902,2
903,0
904,1
905,0
906,0
907,5
908,0
909,4
910,3
911,0
912,2
913,0
914,1
915,0
916,92
917,18
918,8
919,7
920,0
921,6
922,1
923,4
924,2
925,1
926,0
927,1
928,0
929,9
930,6
931,4
932,3
933,1
934,1
935,0
936,1
937,2
938,0
939,1
940,73
941,50
942,5
943,0
944,4
945,3
946,1
947,1
948,0
949,44
950,19
951,5
952,2
953,0
954,1
955,2
956,0
957,1
958,13
959,5
960,4
961,1
962,2
963,0
964,1
965,0
966,7
967,1
968,5
969,4
970,1
971,2
972,0
973,1
974,0
975,24
976,3
977,1
978,1
979,20
980,17
981,5
982,3
983,1
984,1
985,1
986,11
987,0
988,10
989,3
990,1
991,1
992,6
993,0
994,5
995,1
996,3
997,1
998,1
999,2
1000,1
1001,0
1002,22
1003,16
1004,9
1005,7
1006,3
1007,2
1008,0
1009,1
1010,0
1011,3
1012,2
1013,0
1014,1
1015,0
1016,1
1017,6
1018,4
1019,2
1020,1
1021,0
1022,1
1023,1
1024,5
1025,2
1026,0
1027,1
1028,2
1029,1
1030,0
1031,12
1032,3
1033,1
1034,1
1035,8
1036,7
1037,2
1038,0
1039,1
1040,4
1041,3
1042,2
1043,1
1044,0
1045,0
1046,0
1047,0
1048,4
1049,1
1050,2
1051,0
1052,1
1053,135
1054,120
1055,109
1056,41
1057,12
1058,7
1059,4
1060,0
1061,3
1062,2
1063,1
1064,0
1065,0
1066,2
1067,1
1068,0
1069,4
1070,0
1071,3
1072,0
1073,2
1074,1
1075,0
1076,28
1077,9
1078,3
1079,1
1080,1
1081,5
1082,0
1083,4
1084,3
1085,2
1086,1
1087,0
1088,0
1089,0
1090,18
1091,5
1092,0
1093,4
1094,2
1095,1
1096,0
1097,1
1098,12
1099,1
1100,10
1101,1
1102,8
1103,5
1104,2
1105,0
1106,1
1107,2
1108,0
1109,1
1110,2
1111,0
1112,1
1113,67
1114,3
1115,0
1116,2
1117,1
1118,0
1119,63
1120,26
1121,7
1122,0
1123,6
1124,1
1125,4
1126,0
1127,3
1128,1
1129,1
1130,18
1131,2
1132,1
1133,0
1134,15
1135,7
1136,4
1137,1
1138,2
1139,0
1140,1
1141,2
1142,0
1143,1
1144,7
1145,6
1146,1
1147,4
1148,2
1149,1
1150,0
1151,1
1152,0
1153,36
1154,11
1155,4
1156,1
1157,2
1158,0
1159,1
1160,6
1161,4
1162,0
1163,3
1164,2
1165,1
1166,0
1167,0
1168,1
1169,24
1170,0
1171,23
1172,3
1173,2
1174,1
1175,0
1176,0
1177,19
1178,4
1179,0
1180,3
1181,1
1182,1
1183,14
1184,1
1185,12
1186,0
1187,11
1188,2
1189,0
1190,1
1191,8
1192,4
1193,0
1194,3
1195,1
1196,1
1197,3
1198,2
1199,0
1200,1
1201,0
1202,10
1203,3
1204,2
1205,1
1206,0
1207,0
1208,6
1209,0
1210,5
1211,1
1212,3
1213,2
1214,0
1215,1
1216,0
1217,14
1218,7
1219,4
1220,1
1221,2
1222,1
1223,0
1224,2
1225,0
1226,1
1227,6
1228,4
1229,3
1230,1
1231,1
1232,0
1233,1
1234,33
1235,19
1236,7
1237,4
1238,1
1239,2
1240,0
1241,1
1242,2
1243,1
1244,0
1245,11
1246,8
1247,1
1248,6
1249,1
1250,4
1251,1
1252,2
1253,0
1254,1
1255,2
1256,1
1257,0
1258,13
1259,3
1260,0
1261,2
1262,0
1263,1
1264,9
1265,5
1266,4
1267,0
1268,3
1269,1
1270,1
1271,0
1272,3
1273,2
1274,0
1275,1
1276,0
1277,1033
1278,909
1279,358
1280,86
1281,0
1282,85
1283,0
1284,84
1285,80
1286,6
1287,0
1288,5
1289,0
1290,4
1291,1
1292,2
1293,0
1294,1
1295,73
1296,43
1297,41
1298,4
1299,3
1300,0
1301,2
1302,1
1303,0
1304,0
1305,36
1306,9
1307,6
1308,0
1309,5
1310,2
1311,1
1312,0
1313,2
1314,0
1315,1
1316,2
1317,0
1318,1
1319,26
1320,22
1321,21
1322,20
1323,8
1324,1
1325,6
1326,0
1327,5
1328,3
1329,0
1330,2
1331,1
1332,0
1333,1
1334,11
1335,9
1336,7
1337,5
1338,2
1339,1
1340,0
1341,2
1342,0
1343,1
1344,1
1345,1
1346,1
1347,0
1348,0
1349,3
1350,1
1351,1
1352,1
1353,29
1354,0
1355,28
1356,19
1357,0
1358,18
1359,2
1360,0
1361,1
1362,15
1363,13
1364,6
1365,2
1366,0
1367,1
1368,3
1369,1
1370,1
1371,6
1372,0
1373,5
1374,0
1375,4
1376,3
1377,2
1378,0
1379,1
1380,0
1381,0
1382,1
1383,8
1384,0
1385,7
1386,3
1387,2
1388,1
1389,0
1390,0
1391,3
