CallIndex,SubproblemSize
1,5000
2,2500
3,1250
4,625
5,313
6,157
7,79
8,40
9,20
10,10
11,5
12,3
13,2
14,1
15,1
16,1
17,2
18,1
19,1
20,5
21,3
22,2
23,1
24,1
25,1
26,2
27,1
28,1
29,10
30,5
31,3
32,2
33,1
34,1
35,1
36,2
37,1
38,1
39,5
40,3
41,2
42,1
43,1
44,1
45,2
46,1
47,1
48,20
49,10
50,5
51,3
52,2
53,1
54,1
55,1
56,2
57,1
58,1
59,5
60,3
61,2
62,1
63,1
64,1
65,2
66,1
67,1
68,10
69,5
70,3
71,2
72,1
73,1
74,1
75,2
76,1
77,1
78,5
79,3
80,2
81,1
82,1
83,1
84,2
85,1
86,1
87,39
88,20
89,10
90,5
91,3
92,2
93,1
94,1
95,1
96,2
97,1
98,1
99,5
100,3
101,2
102,1
103,1
104,1
105,2
106,1
107,1
108,10
109,5
110,3
111,2
112,1
113,1
114,1
115,2
116,1
117,1
118,5
119,3
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,19
128,10
129,5
130,3
131,2
132,1
133,1
134,1
135,2
136,1
137,1
138,5
139,3
140,2
141,1
142,1
143,1
144,2
145,1
146,1
147,9
148,5
149,3
150,2
151,1
152,1
153,1
154,2
155,1
156,1
157,4
158,2
159,1
160,1
161,2
162,1
163,1
164,78
165,39
166,20
167,10
168,5
169,3
170,2
171,1
172,1
173,1
174,2
175,1
176,1
177,5
178,3
179,2
180,1
181,1
182,1
183,2
184,1
185,1
186,10
187,5
188,3
189,2
190,1
191,1
192,1
193,2
194,1
195,1
196,5
197,3
198,2
199,1
200,1
201,1
202,2
203,1
204,1
205,19
206,10
207,5
208,3
209,2
210,1
211,1
212,1
213,2
214,1
215,1
216,5
217,3
218,2
219,1
220,1
221,1
222,2
223,1
224,1
225,9
226,5
227,3
228,2
229,1
230,1
231,1
232,2
233,1
234,1
235,4
236,2
237,1
238,1
239,2
240,1
241,1
242,39
243,20
244,10
245,5
246,3
247,2
248,1
249,1
250,1
251,2
252,1
253,1
254,5
255,3
256,2
257,1
258,1
259,1
260,2
261,1
262,1
263,10
264,5
265,3
266,2
267,1
268,1
269,1
270,2
271,1
272,1
273,5
274,3
275,2
276,1
277,1
278,1
279,2
280,1
281,1
282,19
283,10
284,5
285,3
286,2
287,1
288,1
289,1
290,2
291,1
292,1
293,5
294,3
295,2
296,1
297,1
298,1
299,2
300,1
301,1
302,9
303,5
304,3
305,2
306,1
307,1
308,1
309,2
310,1
311,1
312,4
313,2
314,1
315,1
316,2
317,1
318,1
319,156
320,78
321,39
322,20
323,10
324,5
325,3
326,2
327,1
328,1
329,1
330,2
331,1
332,1
333,5
334,3
335,2
336,1
337,1
338,1
339,2
340,1
341,1
342,10
343,5
344,3
345,2
346,1
347,1
348,1
349,2
350,1
351,1
352,5
353,3
354,2
355,1
356,1
357,1
358,2
359,1
360,1
361,19
362,10
363,5
364,3
365,2
366,1
367,1
368,1
369,2
370,1
371,1
372,5
373,3
374,2
375,1
376,1
377,1
378,2
379,1
380,1
381,9
382,5
383,3
384,2
385,1
386,1
387,1
388,2
389,1
390,1
391,4
392,2
393,1
394,1
395,2
396,1
397,1
398,39
399,20
400,10
401,5
